cnty_fips,display_name,prop_diabetes,CHD_hosp,ob_prev_adj,hypertension_hosp,prop_edu_less_high_school,prop_edu_less_college,prop_food_stamp_SNAP_recip,median_HHI,income_inequal,prop_poverty,unemployment_rate,annual_PM2.5,prop_uninsured,prop_medicaid_eligible
1001,"""Autauga, (AL)""",9.9,90.1,37.6,183.7,12.3,75,14.5,54.5,0.45,13.5,3.7,11.7,8.5,18.1
1003,"""Baldwin, (AL)""",8.5,80.3,31.3,138.1,9.8,69.3,11.3,56.5,0.462,11.7,3.6,10.3,10.7,16.9
1005,"""Barbour, (AL)""",15.7,87,44.7,178.1,26.9,88,25.4,32.9,0.462,29.9,5.6,11.5,12.5,29.9
1007,"""Bibb, (AL)""",13.3,90.9,37.9,176.4,17.9,86.8,16.8,43.1,0.452,20.1,4.2,11.2,9.7,24.9
1009,"""Blount, (AL)""",14.9,77.3,34.6,133.3,20.2,86.9,13.7,47.2,0.43,14.1,3.9,11.7,12.1,20.4
1011,"""Bullock, (AL)""",22.4,78.8,39.3,177.7,28.6,86.6,28.7,34.3,0.482,32.6,4.3,11.2,13.2,38.1
1013,"""Butler, (AL)""",16.9,86.7,40.9,178.3,18.9,83.9,26.7,35.4,0.45,24.8,5.1,10.6,10.7,34.2
1015,"""Calhoun, (AL)""",15.6,108.9,37.3,180.5,16.8,82.1,21,41.8,0.463,17.1,4.8,11.8,11.2,26.6
1017,"""Chambers, (AL)""",17.5,95,40.8,161.6,19.1,86.7,22.1,39.5,0.459,19.9,3.7,11.4,10.7,29.3
1019,"""Cherokee, (AL)""",12.2,110.7,36.9,194.5,20.5,87.5,18.9,41.5,0.453,16.8,3.7,11.4,11.9,25.1
1021,"""Chilton, (AL)""",16.8,106.6,35.3,173.6,18.2,84.9,18,44.2,0.469,18.3,3.9,11.2,14.2,25.8
1023,"""Choctaw, (AL)""",13.9,67.3,41.7,139.4,19.9,88.4,27.2,32.7,0.486,22.7,6.4,10.1,11.3,30.8
1025,"""Clarke, (AL)""",20.1,75.8,40,154.2,18.5,87,26.7,34.1,0.519,29,8,10.4,11.4,30.3
1027,"""Clay, (AL)""",11.2,95.6,38.2,166.3,26.7,89.7,15.5,38.5,0.457,18.9,4.1,10.6,13.4,27.5
1029,"""Cleburne, (AL)""",10.4,111.3,34.9,177.6,24.2,87.6,16,43.5,0.457,17.2,4.2,11,11.9,26
1031,"""Coffee, (AL)""",14.4,71.3,33.5,140.7,14.6,77.3,14.5,48.6,0.449,14.4,4.3,10.9,10.8,19.4
1033,"""Colbert, (AL)""",13.5,96,32.7,194.9,16.1,81.2,16.3,46.6,0.438,16.7,4.9,10.7,9.7,24.2
1035,"""Conecuh, (AL)""",23.7,111.4,39.4,222.6,21,91.2,29.5,29.8,0.455,28.1,5.6,10.3,12.8,35
1037,"""Coosa, (AL)""",17.9,98.6,40.8,173.4,23.2,89,17.9,36.4,0.437,17.5,4.4,11,13.3,23.5
1039,"""Covington, (AL)""",12.9,102.1,33.9,205.7,18,84.5,21.3,35,0.449,19.6,5.4,10.5,12.3,28.2
1041,"""Crenshaw, (AL)""",16.3,82.9,38.7,155.1,20.7,83.7,22.6,37.4,0.466,20.5,4.2,10.7,11.5,29.8
1043,"""Cullman, (AL)""",17.2,82.6,34.7,156.8,17.9,85.1,14.2,41.5,0.448,14.9,3.5,11.6,12.8,22.7
1045,"""Dale, (AL)""",14.4,82.9,37.6,169.1,14,83.2,21.1,40.5,0.456,20.6,4.2,11,11,23
1047,"""Dallas, (AL)""",13.9,115.4,42.4,204.2,18.7,85.8,40.3,30.5,0.497,35.4,6.5,11.1,10.4,43.8
1049,"""DeKalb, (AL)""",11.2,86.7,30.5,157.9,26.4,87,21.3,37.1,0.465,20.5,4.3,11.3,16.6,27.4
1051,"""Elmore, (AL)""",14.9,87.2,36.1,164.5,13.6,77.2,14.5,54.6,0.437,13.5,3.4,11.9,8.5,17.4
1053,"""Escambia, (AL)""",17.1,100.4,38.6,187.9,19,87.9,24.7,35.1,0.484,23.3,4.7,10.2,13.2,28.6
1055,"""Etowah, (AL)""",13.5,107.8,36.4,215,16.9,83.1,15.3,41,0.444,17.5,4.3,11.5,11.5,25.8
1057,"""Fayette, (AL)""",21,99.2,38.4,200.4,20.4,85.4,23.2,38.4,0.467,20.3,4.5,10.6,10.8,26.8
1059,"""Franklin, (AL)""",13.3,92.7,33.2,195.2,23.6,86.6,20.6,37,0.431,20.1,4.2,10.5,13.1,29.8
1061,"""Geneva, (AL)""",14.3,88.8,38.8,166.4,21,88.9,22.1,37,0.445,20.9,4,10.6,14.1,28.5
1063,"""Greene, (AL)""",11.3,78.4,42.4,198.6,23.4,88.6,37.3,26.6,0.515,34,7.3,10.5,11.1,42.6
1065,"""Hale, (AL)""",15.5,99.9,42.2,216.6,18.9,85.6,27.7,35.4,0.497,23.7,5.5,10.8,11.2,39.8
1067,"""Henry, (AL)""",13.7,80.5,38.5,156.3,19.4,82.9,19.1,41.4,0.453,18.7,4.5,10.9,11.7,24.3
1069,"""Houston, (AL)""",11.8,86.5,36,166.1,14.7,79.1,19.4,42.9,0.48,19.4,4.1,10.7,11.1,26
1071,"""Jackson, (AL)""",13.9,100.9,37.7,174.3,18.6,86.6,16.2,41.4,0.454,17.5,4.7,11,12.6,23.7
1073,"""Jefferson, (AL)""",11.7,73.8,32.9,151.9,10.6,68.1,18.1,50.1,0.501,15.3,4.1,13.4,9.9,22.2
1075,"""Lamar, (AL)""",16,81.9,35.9,175.1,20.5,86.7,19.9,38.4,0.473,18.6,3.9,10.3,11.1,28.3
1077,"""Lauderdale, (AL)""",11.9,81.7,34.9,173.4,14.1,77.5,14.2,44.1,0.46,15.2,4.3,11,9.9,20.4
1079,"""Lawrence, (AL)""",16.9,93.8,35.1,191.4,22,89.8,19.5,43.1,0.432,16.8,4.8,11.3,14,22.9
1081,"""Lee, (AL)""",9.5,70.6,31.5,133.5,10.1,65.1,11.7,47.7,0.501,18.3,3.7,12.1,10.5,15.8
1083,"""Limestone, (AL)""",12.5,79,33.5,170.9,16.3,75.4,12.6,52.2,0.458,12.8,3.8,11.8,11.1,16.6
1085,"""Lowndes, (AL)""",11.4,88.5,46.6,172.9,24,86.3,39.7,32,0.506,31.7,7.4,10.9,11.4,40.1
1087,"""Macon, (AL)""",21.3,71.8,46.9,160.2,18.4,79.9,36.2,30.7,0.506,30,5.4,11.7,10.4,31.5
1089,"""Madison, (AL)""",12.4,67.3,31.8,150.2,9.2,59.4,12,61.2,0.467,13.5,3.7,11.6,8.8,15.3
1091,"""Marengo, (AL)""",14.9,79.8,41.2,187.8,16.8,84.6,27.3,34.8,0.53,25.8,5.5,10.6,10.1,32.4
1093,"""Marion, (AL)""",18.1,86.1,37.4,181.9,19.3,86.6,21.1,36.4,0.473,18.5,4.6,10.5,11.4,26
1095,"""Marshall, (AL)""",10.2,88.8,33.2,164.5,20,82.3,19.5,42.1,0.482,21,3.7,11.8,13.7,26.2
1097,"""Mobile, (AL)""",12.6,92.3,37.1,172.6,13.7,77,22.3,45.2,0.473,19.5,5,10.8,12.4,25.7
1099,"""Monroe, (AL)""",15.7,79.2,39.6,165.2,17,87.5,22.7,36.6,0.557,25.7,6.3,10.4,12.3,28.5
1101,"""Montgomery, (AL)""",13,69.4,36.5,155.9,14.3,67.7,24.5,45.1,0.483,18.8,4.1,11.9,11.1,26.5
1103,"""Morgan, (AL)""",11.1,82.3,31.5,165.6,17.5,79.1,13.9,46.8,0.457,15.8,3.9,11.6,11.2,21.4
1105,"""Perry, (AL)""",13.6,101.3,45.5,187,20,83.1,43,25.2,0.496,35,7.3,10.7,11.3,45.2
1107,"""Pickens, (AL)""",12.7,78.1,36.2,177.7,20.2,88.2,20,36,0.484,25.8,5,10.5,11.7,30.1
1109,"""Pike, (AL)""",12.1,73.4,43.1,154.4,18.9,75.3,23.1,35.2,0.517,25.1,4.3,11,12.8,25.9
1111,"""Randolph, (AL)""",13.8,89.9,37.3,146.5,21.4,85.4,23.6,40.3,0.452,21.8,4,11,12,26.5
1113,"""Russell, (AL)""",18.2,72.6,40.4,144.2,17.1,83.1,24.6,38.6,0.459,19.3,4.1,12.1,10.8,28.2
1115,"""St. Clair, (AL)""",12.3,102.7,35.8,180.8,15.8,84,13.2,57.9,0.41,12,3.8,12,9.4,18.9
1117,"""Shelby, (AL)""",9.6,95.6,32.8,166,7.9,57.8,6.7,74.2,0.428,7.9,3.1,12,7.4,10.5
1119,"""Sumter, (AL)""",18.7,67.9,43.3,183.8,17.3,81.8,33.2,26.8,0.519,32.4,6.5,10.4,12.9,37.3
1121,"""Talladega, (AL)""",14.3,101.6,41,180.1,19.5,86.4,19,40.6,0.454,18,4.8,11.5,9.8,29.8
1123,"""Tallapoosa, (AL)""",13.3,103.6,34.6,175.7,19.2,81.8,20.8,40.2,0.454,20.2,3.8,11.4,10.7,27.5
1125,"""Tuscaloosa, (AL)""",12,92.8,34.1,203.9,11.8,69.8,13.6,47.5,0.461,17.6,4,11.3,9.2,20
1127,"""Walker, (AL)""",12.2,104.8,38.6,188,20,88.9,20.4,39.5,0.457,20.5,4.7,11.6,11.5,27.7
1129,"""Washington, (AL)""",14.2,82.3,40.9,150.3,17.6,89.3,18.5,37.6,0.464,18.2,6.6,10.1,13.1,23.4
1131,"""Wilcox, (AL)""",17.1,61.8,44.9,155.8,20.9,88,44.1,24.2,0.518,31.9,10.9,10.4,10.5,48.3
1133,"""Winston, (AL)""",17,93.6,38.9,226.1,22.8,87.1,15.8,38.6,0.453,17.3,4.8,11,12.9,26.8
2013,"""Aleutians East, (AK)""",13,-1,39.4,-1,14.2,88.5,3.8,64,0.403,14.8,4.7,-1,33.5,9.8
2016,"""Aleutians West, (AK)""",10.7,-1,40,-1,11.7,83.8,2.4,78.2,0.369,8,5.7,-1,22.3,6
2020,"""Anchorage, (AK)""",8.2,50,28.6,106.6,6.6,65.4,9,84,0.419,7.2,5.8,-1,12.9,19.3
2050,"""Bethel, (AK)""",7,50.2,31.4,141.4,19.8,87.4,39.4,46.6,0.434,25.5,14.9,-1,23.9,49.2
2060,"""Bristol Bay, (AK)""",13.7,42.3,38.2,80.2,7.4,79.7,6.4,68,0.382,11.4,5.2,-1,22.9,13.9
2068,"""Denali, (AK)""",5.1,-1,26.5,-1,1.3,55.5,4,72.4,0.357,6.3,6.2,-1,14.5,8.3
2070,"""Dillingham, (AK)""",10.5,37,38.4,77.5,13.6,82.6,23.5,52.3,0.428,19.6,10,-1,20.9,40
2090,"""Fairbanks North Star, (AK)""",7.1,40.8,29.5,79.7,5.4,66.9,6,73.4,0.398,8.5,6,-1,13.6,12.9
2100,"""Haines, (AK)""",5.5,40.5,25.4,85.5,3.4,65.3,6.4,53.5,0.415,10.3,7.4,-1,20.5,17.8
2110,"""Juneau, (AK)""",6.2,39.2,28.5,86,4,59.7,8.1,82,0.382,7.4,4.1,-1,13.1,16.4
2122,"""Kenai Peninsula, (AK)""",7.1,57.2,29.6,103,7.4,75.9,8,68.5,0.427,12,7.6,-1,17.9,20.9
2130,"""Ketchikan Gateway, (AK)""",8,33.8,35.3,52.8,8.1,75.9,14.4,67.1,0.416,9.2,5.7,-1,16.6,23.5
2150,"""Kodiak Island, (AK)""",8.2,34.6,32.7,57.3,11.5,75.9,5.4,74.7,0.398,7.3,4.6,-1,21.7,18.2
2164,"""Lake and Peninsula, (AK)""",9.5,-1,33.5,-1,12.3,84,18.4,44.3,0.439,20.9,11.6,-1,28,33.9
2170,"""Matanuska-Susitna, (AK)""",8.5,53.6,32.8,122.7,7.9,79.4,9.1,71.8,0.41,9.5,8.2,-1,15.7,21.2
2180,"""Nome, (AK)""",8.2,44,35.5,75.7,15.1,86,32.1,56,0.437,24,13.7,-1,21.5,44.4
2185,"""North Slope, (AK)""",8.4,45.5,36.7,100.9,11.6,84.7,8.8,75,0.413,11.9,7.5,-1,19.6,19.5
2188,"""Northwest Arctic, (AK)""",11.6,45.4,36.2,94,19.3,89.2,32.6,53.7,0.434,27.8,18.9,-1,24,42.1
2201,"""Prince of Wales-Outer Ketchikan, (AK)""",No Data,43.3,-1,63.7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2220,"""Sitka, (AK)""",7.2,37.4,28.7,71.8,6.5,67.1,6.8,72.8,0.394,7.9,4.1,-1,19.7,19.2
2232,"""Skagway-Hoonah-Angoon, (AK)""",No Data,39.9,-1,75.1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2240,"""Southeast Fairbanks, (AK)""",8.6,45.6,32.7,92.5,8.5,80.5,10.4,59.4,0.392,11.8,8.6,-1,21.4,25.3
2261,"""Valdez-Cordova, (AK)""",10.1,45.4,31.6,88.8,4.1,67.3,6.8,69.8,0.395,9.2,6.8,-1,17,17.1
