fips,name,pop_per_sq_mile,housing_per_sq_mile
NA,United States,87.4,37.3
01,Alabama,94.4,42.9
01001,Autauga County,91.8,37.2
01003,Baldwin County,114.6,65.5
01005,Barbour County,31,13.4
01007,Bibb County,36.8,14.4
01009,Blount County,88.9,37
01011,Bullock County,17.5,7.2
01013,Butler County,27,12.8
01015,Calhoun County,195.7,88
01017,Chambers County,57.4,28.5
01019,Cherokee County,46.9,29.4
01021,Chilton County,63,27.8
01023,Choctaw County,15.2,8
01025,Clarke County,20.9,10.2
01027,Clay County,23.1,11.2
01029,Cleburne County,26.7,12
01031,Coffee County,73.6,32.9
01033,Colbert County,91.8,43.5
01035,Conecuh County,15.6,8.3
01037,Coosa County,17.7,10
01039,Covington County,36.6,18.3
01041,Crenshaw County,22.8,11.1
01043,Cullman County,109.4,50.4
01045,Dale County,89.6,40.4
01047,Dallas County,44.8,20.6
01049,DeKalb County,91.5,40
01051,Elmore County,128.2,52.8
01053,Escambia County,40.5,17.4
01055,Etowah County,195.2,88.7
01057,Fayette County,27.5,13.4
01059,Franklin County,50,22.1
01061,Geneva County,46.6,22.1
01063,Greene County,14,7.7
01065,Hale County,24.5,11.9
01067,Henry County,30.8,15.8
01069,Houston County,175.1,78.2
01071,Jackson County,49.4,23
01073,Jefferson County,592.5,270.5
01075,Lamar County,24.1,12.2
01077,Lauderdale County,138.8,65.6
01079,Lawrence County,49.7,22
01081,Lee County,230.8,102.7
01083,Limestone County,147.8,62.5
01085,Lowndes County,15.8,7.2
01087,Macon County,35.2,16.8
01089,Madison County,417.7,182.7
01091,Marengo County,21.5,10.5
01093,Marion County,41.5,19.9
01095,Marshall County,164.4,71.3
01097,Mobile County,335.9,144.9
01099,Monroe County,22.5,11
01101,Montgomery County,292.5,129.6
01103,Morgan County,206.3,88.4
01105,Perry County,14.7,6.6
01107,Pickens County,22.4,10.8
01109,Pike County,48.9,22.7
01111,Randolph County,39.5,20.6
01113,Russell County,82.6,38.4
01115,St. Clair County,132.3,56.2
01117,Shelby County,248.5,103.2
01119,Sumter County,15.2,7.5
01121,Talladega County,111.7,50.3
01123,Tallapoosa County,58.1,30.9
01125,Tuscaloosa County,147.3,64.2
01127,Walker County,84.7,38.9
01129,Washington County,16.3,7.8
01131,Wilcox County,13.1,6.4
01133,Winston County,39.9,22
02,Alaska,1.2,0.5
02013,Aleutians East Borough,0.4,0.1
02016,Aleutians West Census Area,1.3,0.4
02020,Anchorage Municipality,171.2,66.3
02050,Bethel Census Area,0.4,0.1
02060,Bristol Bay Borough,2,1.9
02068,Denali Borough,0.1,0.1
02070,Dillingham Census Area,0.3,0.1
02090,Fairbanks North Star Borough,13.3,5.7
02100,Haines Borough,1.1,0.7
02105,Hoonah-Angoon Census Area,0.3,0.2
02110,Juneau City and Borough,11.6,4.8
02122,Kenai Peninsula Borough,3.4,1.9
02130,Ketchikan Gateway Borough,2.8,1.3
02150,Kodiak Island Borough,2.1,0.8
02164,Lake and Peninsula Borough,0.1,0.1
02170,Matanuska-Susitna Borough,3.6,1.7
02180,Nome Census Area,0.4,0.2
02185,North Slope Borough,0.1,0
02188,Northwest Arctic Borough,0.2,0.1
02195,Petersburg Census Area,1.2,0.6
02198,Prince of Wales-Hyder Census Area,1.4,0.8
02220,Sitka City and Borough,3.1,1.4
02230,Skagway Municipality,2.1,1.4
02240,Southeast Fairbanks Census Area,0.3,0.2
02261,Valdez-Cordova Census Area,0.3,0.2
02270,Wade Hampton Census Area,0.4,0.1
02275,Wrangell City and Borough,0.9,0.6
02282,Yakutat City and Borough,0.1,0.1
02290,Yukon-Koyukuk Census Area,0,0
04,Arizona,56.3,25
04001,Apache County,6.4,2.9
04003,Cochise County,21.3,9.6
04005,Coconino County,7.2,3.4
04007,Gila County,11.3,6.9
04009,Graham County,8.1,2.8
04011,Greenlee County,4.6,2.4
04012,La Paz County,4.6,3.6
04013,Maricopa County,414.9,178.2
04015,Mohave County,15,8.3
04017,Navajo County,10.8,5.7
04019,Pima County,106.7,48
04021,Pinal County,70,29.7
04023,Santa Cruz County,38.3,14.6
04025,Yavapai County,26,13.6
04027,Yuma County,35.5,15.9
05,Arkansas,56,25.3
05001,Arkansas County,19.2,9.5
05003,Ashley County,23.6,11
05005,Baxter County,74.9,40.7
05007,Benton County,261.2,109.9
05009,Boone County,62.5,28.5
05011,Bradley County,17.7,9
05013,Calhoun County,8.5,4.6
05015,Carroll County,43.6,21.5
05017,Chicot County,18.3,8.4
05019,Clark County,26.6,12
05021,Clay County,25.2,12.6
05023,Cleburne County,46.9,28.6
05025,Cleveland County,14.5,6.8
05027,Columbia County,32.1,15.1
05029,Conway County,38.5,17.6
05031,Craighead County,136.4,57.3
05033,Crawford County,104.4,44
05035,Crittenden County,83.5,35.2
05037,Cross County,29,12.7
05039,Dallas County,12.2,6.5
05041,Desha County,16.9,8.2
05043,Drew County,22.3,10.2
05045,Faulkner County,174.8,71.9
05047,Franklin County,29.8,13.2
05049,Fulton County,19.8,11
05051,Garland County,141.7,74.6
05053,Grant County,28.3,12.3
05055,Greene County,72.9,31
05057,Hempstead County,31.1,14.3
05059,Hot Spring County,53.5,23.3
05061,Howard County,23.4,10.6
05063,Independence County,48,21.2
05065,Izard County,23.6,12.5
05067,Jackson County,28.4,12
05069,Jefferson County,88.9,37.9
05071,Johnson County,38.7,17.1
05073,Lafayette County,14.5,8.2
05075,Lawrence County,29.6,13.6
05077,Lee County,17.3,7.2
05079,Lincoln County,25.2,8.7
05081,Little River County,24.7,12.1
05083,Logan County,31.6,14.3
05085,Lonoke County,88.7,35.3
05087,Madison County,18.8,9
05089,Marion County,27.9,15.7
05091,Miller County,69.5,30.8
05093,Mississippi County,51.6,22.7
05095,Monroe County,13.4,7.3
05097,Montgomery County,12.2,7.4
05099,Nevada County,14.6,7.4
05101,Newton County,10.1,5.7
05103,Ouachita County,35.6,17.9
05105,Perry County,18.9,8.9
05107,Phillips County,31.3,14.6
05109,Pike County,18.8,9.3
05111,Poinsett County,32.4,14.4
05113,Polk County,24.1,11.7
05115,Pope County,76,31.4
05117,Prairie County,13.4,6.9
05119,Pulaski County,503.8,231.1
05121,Randolph County,27.6,13.1
05123,St. Francis County,44.5,17.2
05125,Saline County,148,61.9
05127,Scott County,12.6,5.8
05129,Searcy County,12.3,7.4
05131,Sebastian County,236.4,102.7
05133,Sevier County,30.2,12.2
05135,Sharp County,28.6,16.2
05137,Stone County,20.4,11.1
05139,Union County,40.1,18.9
05141,Van Buren County,24.4,14.6
05143,Washington County,215.6,93.2
05145,White County,74.5,31.4
05147,Woodruff County,12.4,6.6
05149,Yell County,23.9,10.5
06,California,239.1,87.8
06001,Alameda County,2043.6,788.3
06003,Alpine County,1.6,2.4
06005,Amador County,64.1,30.3
06007,Butte County,134.4,58.6
06009,Calaveras County,44.7,27.4
06011,Colusa County,18.6,6.9
06013,Contra Costa County,1465.2,559.1
06015,Del Norte County,28.4,11.1
06017,El Dorado County,106,51.6
06019,Fresno County,156.2,53
06021,Glenn County,21.4,8.2
06023,Humboldt County,37.7,17.3
06025,Imperial County,41.8,13.4
06027,Inyo County,1.8,0.9
06029,Kern County,103.3,35
06031,Kings County,110.1,31.6
06033,Lake County,51.5,28.2
06035,Lassen County,7.7,2.8
06037,Los Angeles County,2419.6,849
06039,Madera County,70.6,23
06041,Marin County,485.1,213.7
06043,Mariposa County,12.6,7
06045,Mendocino County,25.1,11.5
06047,Merced County,132.2,43.3
06049,Modoc County,2.5,1.3
06051,Mono County,4.7,4.6
06053,Monterey County,126.5,42.4
06055,Napa County,182.4,73.2
06057,Nevada County,103.1,54.9
06059,Orange County,3807.7,1326.8
06061,Placer County,247.6,108.5
06063,Plumas County,7.8,6.1
06065,Riverside County,303.8,111.1
06067,Sacramento County,1470.8,576.3
06069,San Benito County,39.8,12.9
06071,San Bernardino County,101.5,34.9
06073,San Diego County,735.8,276.9
06075,San Francisco County,17179.2,8041.8
06077,San Joaquin County,492.6,168
06079,San Luis Obispo County,81.7,35.6
06081,San Mateo County,1602.2,604.4
06083,Santa Barbara County,155,55.9
06085,Santa Clara County,1381,489.8
06087,Santa Cruz County,589.4,234.7
06089,Shasta County,46.9,20.5
06091,Sierra County,3.4,2.4
06093,Siskiyou County,7.2,3.8
06095,Solano County,503,185.8
06097,Sonoma County,307.1,129.8
06099,Stanislaus County,344.2,120.1
06101,Sutter County,157.3,56.2
06103,Tehama County,21.5,9.1
06105,Trinity County,4.3,2.7
06107,Tulare County,91.7,29.4
06109,Tuolumne County,24.9,14.1
06111,Ventura County,446.7,152.8
06113,Yolo County,197.9,74
06115,Yuba County,114.2,43.7
08,Colorado,48.5,21.4
08001,Adams County,378.2,139.7
08003,Alamosa County,21.4,9.1
08005,Arapahoe County,716.7,298.6
08007,Archuleta County,8.9,6.5
08009,Baca County,1.5,0.9
08011,Bent County,4.3,1.5
08013,Boulder County,405.6,175
08014,Broomfield County,1691.9,685.5
08015,Chaffee County,17.6,9.9
08017,Cheyenne County,1,0.5
08019,Clear Creek County,23,14.4
08021,Conejos County,6.4,3.3
08023,Costilla County,2.9,2.1
08025,Crowley County,7.4,2
08027,Custer County,5.8,5.4
08029,Delta County,27.1,12.8
08031,Denver County,3922.6,1868
08033,Dolores County,1.9,1.4
08035,Douglas County,339.7,127.2
08037,Eagle County,31,18.6
08039,Elbert County,12.5,4.8
08041,El Paso County,292.6,118.9
08043,Fremont County,30.5,12.6
08045,Garfield County,19.1,7.9
08047,Gilpin County,36.3,23.7
08049,Grand County,8,8.7
08051,Gunnison County,4.7,3.5
08053,Hinsdale County,0.8,1.2
08055,Huerfano County,4.2,3.2
08057,Jackson County,0.9,0.8
08059,Jefferson County,699.5,300.9
08061,Kiowa County,0.8,0.5
08063,Kit Carson County,3.8,1.6
08065,Lake County,19.4,11.3
08067,La Plata County,30.3,15.3
08069,Larimer County,115.4,51.1
08071,Las Animas County,3.2,1.7
08073,Lincoln County,2.1,0.9
08075,Logan County,12.4,4.9
08077,Mesa County,44.1,18.8
08079,Mineral County,0.8,1.4
08081,Moffat County,2.9,1.3
08083,Montezuma County,12.6,6
08085,Montrose County,18.4,8.1
08087,Morgan County,22,9
08089,Otero County,14.9,7.1
08091,Ouray County,8.2,5.7
08093,Park County,7.4,6.4
08095,Phillips County,6.5,3
08097,Pitkin County,17.7,13.3
08099,Prowers County,7.7,3.6
08101,Pueblo County,66.7,29.1
08103,Rio Blanco County,2.1,1
08105,Rio Grande County,13.1,7.3
08107,Routt County,10,6.9
08109,Saguache County,1.9,1.2
08111,San Juan County,1.8,2
08113,San Miguel County,5.7,5.2
08115,Sedgwick County,4.3,2.6
08117,Summit County,46,49.1
08119,Teller County,41.9,22.7
08121,Washington County,1.9,1
08123,Weld County,63.4,24.1
08125,Yuma County,4.2,1.9
09,Connecticut,738.1,307.3
09001,Fairfield County,1467.2,578.1
09003,Hartford County,1216.2,509.1
09005,Litchfield County,206.3,95.1
09007,Middlesex County,448.6,202.6
09009,New Haven County,1426.7,598.8
09011,New London County,412.2,182
09013,Tolland County,372.2,141.3
09015,Windham County,230.9,95.7
10,Delaware,460.8,208.3
10001,Kent County,276.9,111.5
10003,New Castle County,1263.2,510.2
10005,Sussex County,210.6,131.4
11,District of Columbia,9856.5,4860.4
11001,District of Columbia,9856.5,4860.4
12,Florida,350.6,167.6
12001,Alachua County,282.7,128.9
12003,Baker County,46.3,16.6
12005,Bay County,222.6,131.4
12007,Bradford County,97,37.5
12009,Brevard County,535,265.7
12011,Broward County,1444.9,669.9
12013,Calhoun County,25.8,10.6
12015,Charlotte County,235.2,147.9
12017,Citrus County,242.8,134.1
12019,Clay County,315.8,124.9
12021,Collier County,160.9,98.7
12023,Columbia County,84.7,35.9
12027,DeSoto County,54.7,22.9
12029,Dixie County,23.3,13.2
12031,Duval County,1133.9,509.7
12033,Escambia County,453.4,208.2
12035,Flagler County,197.1,100.1
12037,Franklin County,21.6,16.2
12039,Gadsden County,89.8,37.8
12041,Gilchrist County,48.4,20.9
