"GEO_ID","NAME","B19083_001E","B19083_001M"
"id","Geographic Area Name","Estimate!!Gini Index","Margin of Error!!Gini Index"
"0500000US28151","Washington County, Mississippi","0.5328","0.0241"
"0500000US28111","Perry County, Mississippi","0.4818","0.0517"
"0500000US28019","Choctaw County, Mississippi","0.4432","0.0249"
"0500000US28057","Itawamba County, Mississippi","0.4299","0.0246"
"0500000US28015","Carroll County, Mississippi","0.4489","0.0319"
"0500000US28043","Grenada County, Mississippi","0.4787","0.0280"
"0500000US28063","Jefferson County, Mississippi","0.4982","0.0484"
"0500000US28041","Greene County, Mississippi","0.4116","0.0350"
"0500000US28093","Marshall County, Mississippi","0.4503","0.0283"
"0500000US28119","Quitman County, Mississippi","0.4690","0.0212"
"0500000US28011","Bolivar County, Mississippi","0.5149","0.0254"
"0500000US28073","Lamar County, Mississippi","0.4588","0.0249"
"0500000US28081","Lee County, Mississippi","0.4701","0.0176"
"0500000US28113","Pike County, Mississippi","0.5263","0.0281"
"0500000US28135","Tallahatchie County, Mississippi","0.5138","0.0396"
"0500000US28129","Smith County, Mississippi","0.4772","0.0417"
"0500000US28131","Stone County, Mississippi","0.4449","0.0484"
"0500000US28149","Warren County, Mississippi","0.4663","0.0185"
"0500000US28023","Clarke County, Mississippi","0.4762","0.0296"
"0500000US28069","Kemper County, Mississippi","0.4562","0.0347"
"0500000US28097","Montgomery County, Mississippi","0.5035","0.0600"
"0500000US28105","Oktibbeha County, Mississippi","0.5347","0.0188"
"0500000US28109","Pearl River County, Mississippi","0.4342","0.0163"
"0500000US28079","Leake County, Mississippi","0.4705","0.0205"
"0500000US28103","Noxubee County, Mississippi","0.4659","0.0351"
"0500000US28099","Neshoba County, Mississippi","0.4700","0.0199"
"0500000US28121","Rankin County, Mississippi","0.4076","0.0109"
"0500000US28137","Tate County, Mississippi","0.4373","0.0291"
"0500000US28077","Lawrence County, Mississippi","0.4495","0.0253"
"0500000US28107","Panola County, Mississippi","0.4598","0.0239"
"0500000US28161","Yalobusha County, Mississippi","0.4005","0.0283"
"0500000US28017","Chickasaw County, Mississippi","0.4621","0.0218"
"0500000US28029","Copiah County, Mississippi","0.4556","0.0250"
"0500000US28039","George County, Mississippi","0.4442","0.0395"
"0500000US28049","Hinds County, Mississippi","0.4732","0.0105"
"0500000US28101","Newton County, Mississippi","0.5074","0.0626"
"0500000US28145","Union County, Mississippi","0.4214","0.0181"
"0500000US28125","Sharkey County, Mississippi","0.4779","0.0363"
"0500000US28139","Tippah County, Mississippi","0.4444","0.0264"
"0500000US28035","Forrest County, Mississippi","0.4891","0.0250"
"0500000US28045","Hancock County, Mississippi","0.4495","0.0261"
"0500000US28071","Lafayette County, Mississippi","0.5105","0.0213"
"0500000US28055","Issaquena County, Mississippi","0.5841","0.1425"
"0500000US28087","Lowndes County, Mississippi","0.4665","0.0173"
"0500000US28083","Leflore County, Mississippi","0.5765","0.0362"
"0500000US28157","Wilkinson County, Mississippi","0.4697","0.0454"
"0500000US28047","Harrison County, Mississippi","0.4581","0.0102"
"0500000US28065","Jefferson Davis County, Mississippi","0.5017","0.0282"
"0500000US28085","Lincoln County, Mississippi","0.4756","0.0220"
"0500000US28123","Scott County, Mississippi","0.5323","0.0458"
"0500000US28159","Winston County, Mississippi","0.5283","0.0574"
"0500000US28163","Yazoo County, Mississippi","0.5377","0.0510"
"0500000US28009","Benton County, Mississippi","0.4742","0.0498"
"0500000US28037","Franklin County, Mississippi","0.4643","0.0280"
"0500000US28061","Jasper County, Mississippi","0.4846","0.0298"
"0500000US28067","Jones County, Mississippi","0.4783","0.0200"
"0500000US28095","Monroe County, Mississippi","0.4685","0.0200"
"0500000US28133","Sunflower County, Mississippi","0.5042","0.0206"
"0500000US28155","Webster County, Mississippi","0.4588","0.0306"
"0500000US28001","Adams County, Mississippi","0.5368","0.0241"
"0500000US28025","Clay County, Mississippi","0.4919","0.0362"
"0500000US28031","Covington County, Mississippi","0.4355","0.0287"
"0500000US28053","Humphreys County, Mississippi","0.5034","0.0298"
"0500000US29195","Saline County, Missouri","0.4354","0.0251"
"0500000US29123","Madison County, Missouri","0.4373","0.0338"
"0500000US29229","Wright County, Missouri","0.4908","0.0305"
"0500000US29217","Vernon County, Missouri","0.4589","0.0599"
"0500000US29147","Nodaway County, Missouri","0.4591","0.0238"
"0500000US29041","Chariton County, Missouri","0.4478","0.0288"
"0500000US29079","Grundy County, Missouri","0.4361","0.0391"
"0500000US29141","Morgan County, Missouri","0.4666","0.0385"
"0500000US29223","Wayne County, Missouri","0.4427","0.0336"
"0500000US29017","Bollinger County, Missouri","0.4113","0.0247"
"0500000US29031","Cape Girardeau County, Missouri","0.4552","0.0222"
"0500000US29205","Shelby County, Missouri","0.4211","0.0235"
"0500000US29225","Webster County, Missouri","0.4132","0.0217"
