"cnty_fips","display_name","Value","theme_range"
01001,"""Autauga, (AL)""",90.1,"88.5 - 180.5 (637)"
01003,"""Baldwin, (AL)""",80.3,"75.2 - 88.4 (647)"
01005,"""Barbour, (AL)""",87,"75.2 - 88.4 (647)"
01007,"""Bibb, (AL)""",90.9,"88.5 - 180.5 (637)"
01009,"""Blount, (AL)""",77.3,"75.2 - 88.4 (647)"
01011,"""Bullock, (AL)""",78.8,"75.2 - 88.4 (647)"
01013,"""Butler, (AL)""",86.7,"75.2 - 88.4 (647)"
01015,"""Calhoun, (AL)""",108.9,"88.5 - 180.5 (637)"
01017,"""Chambers, (AL)""",95,"88.5 - 180.5 (637)"
01019,"""Cherokee, (AL)""",110.7,"88.5 - 180.5 (637)"
01021,"""Chilton, (AL)""",106.6,"88.5 - 180.5 (637)"
01023,"""Choctaw, (AL)""",67.3,"64.2 - 75.1 (637)"
01025,"""Clarke, (AL)""",75.8,"75.2 - 88.4 (647)"
01027,"""Clay, (AL)""",95.6,"88.5 - 180.5 (637)"
01029,"""Cleburne, (AL)""",111.3,"88.5 - 180.5 (637)"
01031,"""Coffee, (AL)""",71.3,"64.2 - 75.1 (637)"
01033,"""Colbert, (AL)""",96,"88.5 - 180.5 (637)"
01035,"""Conecuh, (AL)""",111.4,"88.5 - 180.5 (637)"
01037,"""Coosa, (AL)""",98.6,"88.5 - 180.5 (637)"
01039,"""Covington, (AL)""",102.1,"88.5 - 180.5 (637)"
01041,"""Crenshaw, (AL)""",82.9,"75.2 - 88.4 (647)"
01043,"""Cullman, (AL)""",82.6,"75.2 - 88.4 (647)"
01045,"""Dale, (AL)""",82.9,"75.2 - 88.4 (647)"
01047,"""Dallas, (AL)""",115.4,"88.5 - 180.5 (637)"
01049,"""DeKalb, (AL)""",86.7,"75.2 - 88.4 (647)"
01051,"""Elmore, (AL)""",87.2,"75.2 - 88.4 (647)"
01053,"""Escambia, (AL)""",100.4,"88.5 - 180.5 (637)"
01055,"""Etowah, (AL)""",107.8,"88.5 - 180.5 (637)"
01057,"""Fayette, (AL)""",99.2,"88.5 - 180.5 (637)"
01059,"""Franklin, (AL)""",92.7,"88.5 - 180.5 (637)"
01061,"""Geneva, (AL)""",88.8,"88.5 - 180.5 (637)"
01063,"""Greene, (AL)""",78.4,"75.2 - 88.4 (647)"
01065,"""Hale, (AL)""",99.9,"88.5 - 180.5 (637)"
01067,"""Henry, (AL)""",80.5,"75.2 - 88.4 (647)"
01069,"""Houston, (AL)""",86.5,"75.2 - 88.4 (647)"
01071,"""Jackson, (AL)""",100.9,"88.5 - 180.5 (637)"
01073,"""Jefferson, (AL)""",73.8,"64.2 - 75.1 (637)"
01075,"""Lamar, (AL)""",81.9,"75.2 - 88.4 (647)"
01077,"""Lauderdale, (AL)""",81.7,"75.2 - 88.4 (647)"
01079,"""Lawrence, (AL)""",93.8,"88.5 - 180.5 (637)"
01081,"""Lee, (AL)""",70.6,"64.2 - 75.1 (637)"
01083,"""Limestone, (AL)""",79,"75.2 - 88.4 (647)"
01085,"""Lowndes, (AL)""",88.5,"88.5 - 180.5 (637)"
01087,"""Macon, (AL)""",71.8,"64.2 - 75.1 (637)"
01089,"""Madison, (AL)""",67.3,"64.2 - 75.1 (637)"
01091,"""Marengo, (AL)""",79.8,"75.2 - 88.4 (647)"
01093,"""Marion, (AL)""",86.1,"75.2 - 88.4 (647)"
01095,"""Marshall, (AL)""",88.8,"88.5 - 180.5 (637)"
01097,"""Mobile, (AL)""",92.3,"88.5 - 180.5 (637)"
01099,"""Monroe, (AL)""",79.2,"75.2 - 88.4 (647)"
01101,"""Montgomery, (AL)""",69.4,"64.2 - 75.1 (637)"
01103,"""Morgan, (AL)""",82.3,"75.2 - 88.4 (647)"
01105,"""Perry, (AL)""",101.3,"88.5 - 180.5 (637)"
01107,"""Pickens, (AL)""",78.1,"75.2 - 88.4 (647)"
01109,"""Pike, (AL)""",73.4,"64.2 - 75.1 (637)"
01111,"""Randolph, (AL)""",89.9,"88.5 - 180.5 (637)"
01113,"""Russell, (AL)""",72.6,"64.2 - 75.1 (637)"
01115,"""St. Clair, (AL)""",102.7,"88.5 - 180.5 (637)"
01117,"""Shelby, (AL)""",95.6,"88.5 - 180.5 (637)"
01119,"""Sumter, (AL)""",67.9,"64.2 - 75.1 (637)"
01121,"""Talladega, (AL)""",101.6,"88.5 - 180.5 (637)"
01123,"""Tallapoosa, (AL)""",103.6,"88.5 - 180.5 (637)"
01125,"""Tuscaloosa, (AL)""",92.8,"88.5 - 180.5 (637)"
01127,"""Walker, (AL)""",104.8,"88.5 - 180.5 (637)"
01129,"""Washington, (AL)""",82.3,"75.2 - 88.4 (647)"
01131,"""Wilcox, (AL)""",61.8,"47.1 - 64.1 (645)"
01133,"""Winston, (AL)""",93.6,"88.5 - 180.5 (637)"
02013,"""Aleutians East, (AK)""",-1,
02016,"""Aleutians West, (AK)""",-1,
02020,"""Anchorage, (AK)""",50,"47.1 - 64.1 (645)"
02050,"""Bethel, (AK)""",50.2,"47.1 - 64.1 (645)"
02060,"""Bristol Bay, (AK)""",42.3,"17.4 - 47.0 (644)"
02068,"""Denali, (AK)""",-1,
02070,"""Dillingham, (AK)""",37,"17.4 - 47.0 (644)"
02090,"""Fairbanks North Star, (AK)""",40.8,"17.4 - 47.0 (644)"
02100,"""Haines, (AK)""",40.5,"17.4 - 47.0 (644)"
02110,"""Juneau, (AK)""",39.2,"17.4 - 47.0 (644)"
02122,"""Kenai Peninsula, (AK)""",57.2,"47.1 - 64.1 (645)"
02130,"""Ketchikan Gateway, (AK)""",33.8,"17.4 - 47.0 (644)"
02150,"""Kodiak Island, (AK)""",34.6,"17.4 - 47.0 (644)"
02164,"""Lake and Peninsula, (AK)""",-1,
02170,"""Matanuska-Susitna, (AK)""",53.6,"47.1 - 64.1 (645)"
02180,"""Nome, (AK)""",44,"17.4 - 47.0 (644)"
02185,"""North Slope, (AK)""",45.5,"17.4 - 47.0 (644)"
02188,"""Northwest Arctic, (AK)""",45.4,"17.4 - 47.0 (644)"
02201,"""Prince of Wales-Outer Ketchikan, (AK)""",43.3,"17.4 - 47.0 (644)"
02220,"""Sitka, (AK)""",37.4,"17.4 - 47.0 (644)"
02232,"""Skagway-Hoonah-Angoon, (AK)""",39.9,"17.4 - 47.0 (644)"
02240,"""Southeast Fairbanks, (AK)""",45.6,"17.4 - 47.0 (644)"
02261,"""Valdez-Cordova, (AK)""",45.4,"17.4 - 47.0 (644)"
02270,"""Kusilvak, (AK)""",46.1,"17.4 - 47.0 (644)"
02280,"""Wrangell-Petersburg, (AK)""",31.7,"17.4 - 47.0 (644)"
02282,"""Yakutat, (AK)""",-1,
02290,"""Yukon-Koyukuk, (AK)""",44.8,"17.4 - 47.0 (644)"
04001,"""Apache, (AZ)""",53.9,"47.1 - 64.1 (645)"
04003,"""Cochise, (AZ)""",64.1,"47.1 - 64.1 (645)"
04005,"""Coconino, (AZ)""",39.4,"17.4 - 47.0 (644)"
04007,"""Gila, (AZ)""",62,"47.1 - 64.1 (645)"
04009,"""Graham, (AZ)""",45.5,"17.4 - 47.0 (644)"
04011,"""Greenlee, (AZ)""",52.4,"47.1 - 64.1 (645)"
04012,"""La Paz, (AZ)""",57,"47.1 - 64.1 (645)"
04013,"""Maricopa, (AZ)""",58.5,"47.1 - 64.1 (645)"
04015,"""Mohave, (AZ)""",78.8,"75.2 - 88.4 (647)"
04017,"""Navajo, (AZ)""",50.3,"47.1 - 64.1 (645)"
04019,"""Pima, (AZ)""",47.9,"47.1 - 64.1 (645)"
04021,"""Pinal, (AZ)""",70,"64.2 - 75.1 (637)"
04023,"""Santa Cruz, (AZ)""",34.9,"17.4 - 47.0 (644)"
04025,"""Yavapai, (AZ)""",45.2,"17.4 - 47.0 (644)"
04027,"""Yuma, (AZ)""",78.5,"75.2 - 88.4 (647)"
05001,"""Arkansas, (AR)""",73.3,"64.2 - 75.1 (637)"
05003,"""Ashley, (AR)""",76.8,"75.2 - 88.4 (647)"
05005,"""Baxter, (AR)""",69.9,"64.2 - 75.1 (637)"
05007,"""Benton, (AR)""",81.9,"75.2 - 88.4 (647)"
05009,"""Boone, (AR)""",85.3,"75.2 - 88.4 (647)"
05011,"""Bradley, (AR)""",78.4,"75.2 - 88.4 (647)"
05013,"""Calhoun, (AR)""",77.7,"75.2 - 88.4 (647)"
05015,"""Carroll, (AR)""",46.3,"17.4 - 47.0 (644)"
05017,"""Chicot, (AR)""",77.4,"75.2 - 88.4 (647)"
05019,"""Clark, (AR)""",53.8,"47.1 - 64.1 (645)"
05021,"""Clay, (AR)""",88.9,"88.5 - 180.5 (637)"
05023,"""Cleburne, (AR)""",53.9,"47.1 - 64.1 (645)"
05025,"""Cleveland, (AR)""",84.6,"75.2 - 88.4 (647)"
05027,"""Columbia, (AR)""",90.9,"88.5 - 180.5 (637)"
05029,"""Conway, (AR)""",62.5,"47.1 - 64.1 (645)"
05031,"""Craighead, (AR)""",94.8,"88.5 - 180.5 (637)"
05033,"""Crawford, (AR)""",98.7,"88.5 - 180.5 (637)"
05035,"""Crittenden, (AR)""",87.4,"75.2 - 88.4 (647)"
05037,"""Cross, (AR)""",73.6,"64.2 - 75.1 (637)"
05039,"""Dallas, (AR)""",68.1,"64.2 - 75.1 (637)"
05041,"""Desha, (AR)""",77.6,"75.2 - 88.4 (647)"
05043,"""Drew, (AR)""",105.6,"88.5 - 180.5 (637)"
05045,"""Faulkner, (AR)""",74.8,"64.2 - 75.1 (637)"
05047,"""Franklin, (AR)""",82.7,"75.2 - 88.4 (647)"
05049,"""Fulton, (AR)""",65.9,"64.2 - 75.1 (637)"
05051,"""Garland, (AR)""",82.1,"75.2 - 88.4 (647)"
05053,"""Grant, (AR)""",88.4,"75.2 - 88.4 (647)"
05055,"""Greene, (AR)""",113.9,"88.5 - 180.5 (637)"
05057,"""Hempstead, (AR)""",90.8,"88.5 - 180.5 (637)"
05059,"""Hot Spring, (AR)""",89,"88.5 - 180.5 (637)"
05061,"""Howard, (AR)""",67.2,"64.2 - 75.1 (637)"
05063,"""Independence, (AR)""",117.8,"88.5 - 180.5 (637)"
05065,"""Izard, (AR)""",73,"64.2 - 75.1 (637)"
05067,"""Jackson, (AR)""",115.1,"88.5 - 180.5 (637)"
05069,"""Jefferson, (AR)""",80.8,"75.2 - 88.4 (647)"
05071,"""Johnson, (AR)""",65.4,"64.2 - 75.1 (637)"
05073,"""Lafayette, (AR)""",85.9,"75.2 - 88.4 (647)"
05075,"""Lawrence, (AR)""",83.6,"75.2 - 88.4 (647)"
05077,"""Lee, (AR)""",88.5,"88.5 - 180.5 (637)"
05079,"""Lincoln, (AR)""",80.8,"75.2 - 88.4 (647)"
05081,"""Little River, (AR)""",81.9,"75.2 - 88.4 (647)"
05083,"""Logan, (AR)""",75.1,"64.2 - 75.1 (637)"
05085,"""Lonoke, (AR)""",87,"75.2 - 88.4 (647)"
05087,"""Madison, (AR)""",80.5,"75.2 - 88.4 (647)"
05089,"""Marion, (AR)""",78.3,"75.2 - 88.4 (647)"
05091,"""Miller, (AR)""",80.9,"75.2 - 88.4 (647)"
05093,"""Mississippi, (AR)""",89.9,"88.5 - 180.5 (637)"
05095,"""Monroe, (AR)""",101.5,"88.5 - 180.5 (637)"
05097,"""Montgomery, (AR)""",76.2,"75.2 - 88.4 (647)"
05099,"""Nevada, (AR)""",90.8,"88.5 - 180.5 (637)"
05101,"""Newton, (AR)""",77,"75.2 - 88.4 (647)"
05103,"""Ouachita, (AR)""",70.3,"64.2 - 75.1 (637)"
05105,"""Perry, (AR)""",70.9,"64.2 - 75.1 (637)"
05107,"""Phillips, (AR)""",83.7,"75.2 - 88.4 (647)"
05109,"""Pike, (AR)""",88.1,"75.2 - 88.4 (647)"
05111,"""Poinsett, (AR)""",113.7,"88.5 - 180.5 (637)"
05113,"""Polk, (AR)""",79.9,"75.2 - 88.4 (647)"
05115,"""Pope, (AR)""",97.4,"88.5 - 180.5 (637)"
05117,"""Prairie, (AR)""",84.5,"75.2 - 88.4 (647)"
