"cnty_fips","display_name","Value","theme_range"
01001,"""Autauga, (AL)""",183.7,"164.5 - 283.2 (641)"
01003,"""Baldwin, (AL)""",138.1,"123.3 - 144.4 (644)"
01005,"""Barbour, (AL)""",178.1,"164.5 - 283.2 (641)"
01007,"""Bibb, (AL)""",176.4,"164.5 - 283.2 (641)"
01009,"""Blount, (AL)""",133.3,"123.3 - 144.4 (644)"
01011,"""Bullock, (AL)""",177.7,"164.5 - 283.2 (641)"
01013,"""Butler, (AL)""",178.3,"164.5 - 283.2 (641)"
01015,"""Calhoun, (AL)""",180.5,"164.5 - 283.2 (641)"
01017,"""Chambers, (AL)""",161.6,"144.5 - 164.4 (639)"
01019,"""Cherokee, (AL)""",194.5,"164.5 - 283.2 (641)"
01021,"""Chilton, (AL)""",173.6,"164.5 - 283.2 (641)"
01023,"""Choctaw, (AL)""",139.4,"123.3 - 144.4 (644)"
01025,"""Clarke, (AL)""",154.2,"144.5 - 164.4 (639)"
01027,"""Clay, (AL)""",166.3,"164.5 - 283.2 (641)"
01029,"""Cleburne, (AL)""",177.6,"164.5 - 283.2 (641)"
01031,"""Coffee, (AL)""",140.7,"123.3 - 144.4 (644)"
01033,"""Colbert, (AL)""",194.9,"164.5 - 283.2 (641)"
01035,"""Conecuh, (AL)""",222.6,"164.5 - 283.2 (641)"
01037,"""Coosa, (AL)""",173.4,"164.5 - 283.2 (641)"
01039,"""Covington, (AL)""",205.7,"164.5 - 283.2 (641)"
01041,"""Crenshaw, (AL)""",155.1,"144.5 - 164.4 (639)"
01043,"""Cullman, (AL)""",156.8,"144.5 - 164.4 (639)"
01045,"""Dale, (AL)""",169.1,"164.5 - 283.2 (641)"
01047,"""Dallas, (AL)""",204.2,"164.5 - 283.2 (641)"
01049,"""DeKalb, (AL)""",157.9,"144.5 - 164.4 (639)"
01051,"""Elmore, (AL)""",164.5,"164.5 - 283.2 (641)"
01053,"""Escambia, (AL)""",187.9,"164.5 - 283.2 (641)"
01055,"""Etowah, (AL)""",215,"164.5 - 283.2 (641)"
01057,"""Fayette, (AL)""",200.4,"164.5 - 283.2 (641)"
01059,"""Franklin, (AL)""",195.2,"164.5 - 283.2 (641)"
01061,"""Geneva, (AL)""",166.4,"164.5 - 283.2 (641)"
01063,"""Greene, (AL)""",198.6,"164.5 - 283.2 (641)"
01065,"""Hale, (AL)""",216.6,"164.5 - 283.2 (641)"
01067,"""Henry, (AL)""",156.3,"144.5 - 164.4 (639)"
01069,"""Houston, (AL)""",166.1,"164.5 - 283.2 (641)"
01071,"""Jackson, (AL)""",174.3,"164.5 - 283.2 (641)"
01073,"""Jefferson, (AL)""",151.9,"144.5 - 164.4 (639)"
01075,"""Lamar, (AL)""",175.1,"164.5 - 283.2 (641)"
01077,"""Lauderdale, (AL)""",173.4,"164.5 - 283.2 (641)"
01079,"""Lawrence, (AL)""",191.4,"164.5 - 283.2 (641)"
01081,"""Lee, (AL)""",133.5,"123.3 - 144.4 (644)"
01083,"""Limestone, (AL)""",170.9,"164.5 - 283.2 (641)"
01085,"""Lowndes, (AL)""",172.9,"164.5 - 283.2 (641)"
01087,"""Macon, (AL)""",160.2,"144.5 - 164.4 (639)"
01089,"""Madison, (AL)""",150.2,"144.5 - 164.4 (639)"
01091,"""Marengo, (AL)""",187.8,"164.5 - 283.2 (641)"
01093,"""Marion, (AL)""",181.9,"164.5 - 283.2 (641)"
01095,"""Marshall, (AL)""",164.5,"164.5 - 283.2 (641)"
01097,"""Mobile, (AL)""",172.6,"164.5 - 283.2 (641)"
01099,"""Monroe, (AL)""",165.2,"164.5 - 283.2 (641)"
01101,"""Montgomery, (AL)""",155.9,"144.5 - 164.4 (639)"
01103,"""Morgan, (AL)""",165.6,"164.5 - 283.2 (641)"
01105,"""Perry, (AL)""",187,"164.5 - 283.2 (641)"
01107,"""Pickens, (AL)""",177.7,"164.5 - 283.2 (641)"
01109,"""Pike, (AL)""",154.4,"144.5 - 164.4 (639)"
01111,"""Randolph, (AL)""",146.5,"144.5 - 164.4 (639)"
01113,"""Russell, (AL)""",144.2,"123.3 - 144.4 (644)"
01115,"""St. Clair, (AL)""",180.8,"164.5 - 283.2 (641)"
01117,"""Shelby, (AL)""",166,"164.5 - 283.2 (641)"
01119,"""Sumter, (AL)""",183.8,"164.5 - 283.2 (641)"
